Altium Designer Pick and Place Locations
C:\Users\ga92wum\git\UltraZohm\PCB\uz_d_endat\Project Outputs for UZ_D_ENDAT\Rev01\Pick Place\Pick Place for UZ_D_ENDAT(Default).csv

========================================================================================================================
File Design Information:

Date:       05.01.25
Time:       13:39
Revision:   5ebfa81568874f32b50dd9c8a3931b40c8b60b17
Variant:    Default
Units used: mm

"Designator","Footprint","Ref-X(mm)","Center-X(mm)","Ref-Y(mm)","Center-Y(mm)","Pad-X(mm)","Pad-Y(mm)","Rotation","Comment","Layer"
"F3","1812_PTC_Polyfuse_Littelfuse","18.4000","18.4000","75.5000","75.5000","18.4000","73.1100","90","Littelfuse_PTC_1812","TopLayer"
"F2","1812_PTC_Polyfuse_Littelfuse","12.0000","12.0000","75.5000","75.5000","12.0000","73.1100","90","Littelfuse_PTC_1812","TopLayer"
"C17","C_0603","1.4000","1.4000","32.7000","32.7000","1.4000","33.4000","270","100 nF","TopLayer"
"C16C","C_0603","59.8527","59.8527","22.7100","22.7100","60.5527","22.7100","180","100 nF","TopLayer"
"C16B","C_0603","59.9527","59.9527","54.3100","54.3100","60.6527","54.3100","180","100 nF","TopLayer"
"C16A","C_0603","60.3527","60.3527","86.5500","86.5500","61.0527","86.5500","180","100 nF","TopLayer"
"C15C","C_0603","59.8527","59.8527","25.1100","25.1100","60.5527","25.1100","180","100 nF","TopLayer"
"C15B","C_0603","59.9527","59.9527","56.7100","56.7100","60.6527","56.7100","180","100 nF","TopLayer"
"C15A","C_0603","60.3527","60.3527","88.9500","88.9500","61.0527","88.9500","180","100 nF","TopLayer"
"C14C","C_0603","95.8000","95.8000","29.4600","29.4600","96.5000","29.4600","180","100 nF","TopLayer"
"C14B","C_0603","95.9000","95.9000","61.0600","61.0600","96.6000","61.0600","180","100 nF","TopLayer"
"C14A","C_0603","96.3000","96.3000","93.3000","93.3000","97.0000","93.3000","180","100 nF","TopLayer"
"C13C","C_0603","101.3027","101.3027","18.8350","18.8350","101.3027","18.1350","90","1 nF","TopLayer"
"C13B","C_0603","101.4027","101.4027","50.4350","50.4350","101.4027","49.7350","90","1 nF","TopLayer"
"C13A","C_0603","101.8027","101.8027","82.6750","82.6750","101.8027","81.9750","90","1 nF","TopLayer"
"C12C","C_0603","101.0000","101.0000","27.2600","27.2600","101.0000","26.5600","90","1 nF","TopLayer"
"C12B","C_0603","101.1000","101.1000","58.8600","58.8600","101.1000","58.1600","90","1 nF","TopLayer"
"C12A","C_0603","101.5000","101.5000","91.1000","91.1000","101.5000","90.4000","90","1 nF","TopLayer"
"C11C","C_0603","101.3027","101.3027","15.3850","15.3850","101.3027","14.6850","90","1 nF","TopLayer"
"C11B","C_0603","101.4027","101.4027","46.9850","46.9850","101.4027","46.2850","90","1 nF","TopLayer"
"C11A","C_0603","101.8027","101.8027","79.2250","79.2250","101.8027","78.5250","90","1 nF","TopLayer"
"C10C","C_0603","101.0000","101.0000","23.9600","23.9600","101.0000","23.2600","90","1 nF","TopLayer"
"C10B","C_0603","101.1000","101.1000","55.5600","55.5600","101.1000","54.8600","90","1 nF","TopLayer"
"C10A","C_0603","101.5000","101.5000","87.8000","87.8000","101.5000","87.1000","90","1 nF","TopLayer"
"C9C","C_0603","96.1000","96.1000","21.0600","21.0600","96.8000","21.0600","180","100 nF","TopLayer"
"C9B","C_0603","96.2000","96.2000","52.6600","52.6600","96.9000","52.6600","180","100 nF","TopLayer"
"C9A","C_0603","96.6000","96.6000","84.9000","84.9000","97.3000","84.9000","180","100 nF","TopLayer"
"C8C","C_0603","55.6527","55.6527","25.2100","25.2100","54.9527","25.2100","0","100 nF","TopLayer"
"C8B","C_0603","55.7527","55.7527","56.8100","56.8100","55.0527","56.8100","0","100 nF","TopLayer"
"C8A","C_0603","56.1527","56.1527","89.0500","89.0500","55.4527","89.0500","0","100 nF","TopLayer"
"C7C","C_0603","55.6527","55.6527","22.7100","22.7100","54.9527","22.7100","0","100 nF","TopLayer"
"C7B","C_0603","55.7527","55.7527","54.3100","54.3100","55.0527","54.3100","0","100 nF","TopLayer"
"C7A","C_0603","56.1527","56.1527","86.5500","86.5500","55.4527","86.5500","0","100 nF","TopLayer"
"C6C","C_0603","70.8683","70.8683","13.5709","13.5709","70.1683","13.5709","0","1 nF","TopLayer"
"C6B","C_0603","70.9683","70.9683","45.1709","45.1709","70.2683","45.1709","0","1 nF","TopLayer"
"C6A","C_0603","71.3683","71.3683","77.4109","77.4109","70.6683","77.4109","0","1 nF","TopLayer"
"C5C","C_0603","70.8683","70.8683","16.4008","16.4008","70.1683","16.4008","0","1 nF","TopLayer"
"C5B","C_0603","70.9683","70.9683","48.0007","48.0007","70.2683","48.0007","0","1 nF","TopLayer"
"C5A","C_0603","71.3683","71.3683","80.2408","80.2408","70.6683","80.2408","0","1 nF","TopLayer"
"C4C","C_0603","70.8683","70.8683","19.3856","19.3856","70.1683","19.3856","0","1 nF","TopLayer"
"C4B","C_0603","70.9683","70.9683","50.9856","50.9856","70.2683","50.9856","0","1 nF","TopLayer"
"C4A","C_0603","71.3683","71.3683","83.2256","83.2256","70.6683","83.2256","0","1 nF","TopLayer"
"C3C","C_0603","70.8777","70.8777","22.2709","22.2709","70.1777","22.2709","0","1 nF","TopLayer"
"C3B","C_0603","70.9777","70.9777","53.8709","53.8709","70.2777","53.8709","0","1 nF","TopLayer"
"C3A","C_0603","71.3777","71.3777","86.1109","86.1109","70.6777","86.1109","0","1 nF","TopLayer"
"C2C","C_0603","70.8683","70.8683","24.9492","24.9492","70.1683","24.9492","0","1 nF","TopLayer"
"C2B","C_0603","70.9683","70.9683","56.5492","56.5492","70.2683","56.5492","0","1 nF","TopLayer"
"C2A","C_0603","71.3683","71.3683","88.7892","88.7892","70.6683","88.7892","0","1 nF","TopLayer"
"C1C","C_0603","70.8683","70.8683","27.8265","27.8265","70.1683","27.8265","0","1 nF","TopLayer"
"C1B","C_0603","70.9683","70.9683","59.4265","59.4265","70.2683","59.4265","0","1 nF","TopLayer"
"C1A","C_0603","71.3683","71.3683","91.6665","91.6665","70.6683","91.6665","0","1 nF","TopLayer"
"U1","D0008A_N","4.9122","4.9122","29.3000","29.3000","3.0072","26.5750","90","M24C02-WMN6TP","TopLayer"
"J1C","DSUB1.385-2H9","141.1000","131.6000","17.9000","17.9000","130.1800","23.4400","270","DSUB1.385-2H9","TopLayer"
"J1B","DSUB1.385-2H9","141.1000","131.6000","50.0000","50.0000","130.1800","55.5400","270","DSUB1.385-2H9","TopLayer"
"J1A","DSUB1.385-2H9","141.1000","131.6000","82.1000","82.1000","130.1800","87.6400","270","DSUB1.385-2H9","TopLayer"
"L2C","IND_1206_3216","50.9000","50.9000","30.1600","30.1600","49.5000","30.1600","0","BLM31PG330SN1L","TopLayer"
"L2B","IND_1206_3216","51.0000","51.0000","61.7600","61.7600","49.6000","61.7600","0","BLM31PG330SN1L","TopLayer"
"L2A","IND_1206_3216","51.4000","51.4000","94.0000","94.0000","50.0000","94.0000","0","BLM31PG330SN1L","TopLayer"
"L1C","IND_1206_3216","50.9000","50.9000","27.4600","27.4600","49.5000","27.4600","0","BLM31PG330SN1L","TopLayer"
"L1B","IND_1206_3216","51.0000","51.0000","59.0600","59.0600","49.6000","59.0600","0","BLM31PG330SN1L","TopLayer"
"L1A","IND_1206_3216","51.4000","51.4000","91.3000","91.3000","50.0000","91.3000","0","BLM31PG330SN1L","TopLayer"
"R45C","RES_0603_1608","65.0000","65.0000","22.7600","22.7600","65.0000","22.1100","90","100k","TopLayer"
"R45B","RES_0603_1608","65.1000","65.1000","54.3600","54.3600","65.1000","53.7100","90","100k","TopLayer"
"R45A","RES_0603_1608","65.5000","65.5000","86.6000","86.6000","65.5000","85.9500","90","100k","TopLayer"
"R44C","RES_0603_1608","63.0000","63.0000","22.7600","22.7600","63.0000","22.1100","90","100k","TopLayer"
"R44B","RES_0603_1608","63.1000","63.1000","54.3600","54.3600","63.1000","53.7100","90","100k","TopLayer"
"R44A","RES_0603_1608","63.5000","63.5000","86.6000","86.6000","63.5000","85.9500","90","100k","TopLayer"
"R43C","RES_0603_1608","53.0000","53.0000","22.7600","22.7600","53.0000","22.1100","90","100k","TopLayer"
"R43B","RES_0603_1608","53.1000","53.1000","54.3600","54.3600","53.1000","53.7100","90","100k","TopLayer"
"R43A","RES_0603_1608","53.5000","53.5000","86.6000","86.6000","53.5000","85.9500","90","100k","TopLayer"
"R42C","RES_0603_1608","51.2000","51.2000","22.7600","22.7600","51.2000","22.1100","90","100k","TopLayer"
"R42B","RES_0603_1608","51.3000","51.3000","54.3600","54.3600","51.3000","53.7100","90","100k","TopLayer"
"R42A","RES_0603_1608","51.7000","51.7000","86.6000","86.6000","51.7000","85.9500","90","100k","TopLayer"
"R41","RES_0603_1608","-5.1000","-5.1000","32.8000","32.8000","-4.4500","32.8000","180","0R","TopLayer"
"R40","RES_0603_1608","-5.1000","-5.1000","34.4000","34.4000","-5.7500","34.4000","0","0R","TopLayer"
"R39C","RES_0603_1608","113.3000","113.3000","28.5000","28.5000","112.6500","28.5000","0","10R","TopLayer"
"R39B","RES_0603_1608","113.5000","113.5000","60.1000","60.1000","112.8500","60.1000","0","10R","TopLayer"
"R39A","RES_0603_1608","113.8000","113.8000","92.3000","92.3000","113.1500","92.3000","0","10R","TopLayer"
"R38C","RES_0603_1608","113.2000","113.2000","21.6000","21.6000","112.5500","21.6000","0","10R","TopLayer"
"R38B","RES_0603_1608","113.3000","113.3000","53.2000","53.2000","112.6500","53.2000","0","10R","TopLayer"
"R38A","RES_0603_1608","113.7000","113.7000","85.4000","85.4000","113.0500","85.4000","0","10R","TopLayer"
"R37C","RES_0603_1608","113.2000","113.2000","23.5000","23.5000","112.5500","23.5000","0","10R","TopLayer"
"R37B","RES_0603_1608","113.3000","113.3000","55.1000","55.1000","112.6500","55.1000","0","10R","TopLayer"
"R37A","RES_0603_1608","113.7000","113.7000","87.4000","87.4000","113.0500","87.4000","0","10R","TopLayer"
"R36C","RES_0603_1608","113.3000","113.3000","26.5000","26.5000","112.6500","26.5000","0","10R","TopLayer"
"R36B","RES_0603_1608","113.5000","113.5000","58.0000","58.0000","112.8500","58.0000","0","10R","TopLayer"
"R36A","RES_0603_1608","113.9000","113.9000","90.3000","90.3000","113.2500","90.3000","0","10R","TopLayer"
"R35","RES_0603_1608","7.5000","7.5000","35.4000","35.4000","6.8500","35.4000","0","100k","TopLayer"
"R34","RES_0603_1608","7.5000","7.5000","33.8000","33.8000","6.8500","33.8000","0","100k","TopLayer"
"R33","RES_0603_1608","2.6000","2.6000","23.9000","23.9000","2.6000","24.5500","270","4k7","TopLayer"
"R32","RES_0603_1608","4.2000","4.2000","23.9000","23.9000","4.2000","24.5500","270","4k7","TopLayer"
"R31","RES_0603_1608","5.8000","5.8000","23.9000","23.9000","5.8000","24.5500","270","4k7","TopLayer"
"R30","RES_0603_1608","18.3000","18.3000","80.0000","80.0000","18.9500","80.0000","180","2k2","TopLayer"
"R29","RES_0603_1608","12.0000","12.0000","80.0000","80.0000","12.6500","80.0000","180","4k7","TopLayer"
"R27C","RES_0603_1608","121.7000","121.7000","8.3640","8.3640","122.3500","8.3640","180","0R","TopLayer"
"R27B","RES_0603_1608","121.8000","121.8000","39.9640","39.9640","122.4500","39.9640","180","0R","TopLayer"
"R27A","RES_0603_1608","122.2000","122.2000","72.2040","72.2040","122.8500","72.2040","180","0R","TopLayer"
"R26C","RES_0603_1608","121.7000","121.7000","6.3727","6.3727","122.3500","6.3727","180","0R","TopLayer"
"R26B","RES_0603_1608","121.8000","121.8000","37.9727","37.9727","122.4500","37.9727","180","0R","TopLayer"
"R26A","RES_0603_1608","122.2000","122.2000","70.2127","70.2127","122.8500","70.2127","180","0R","TopLayer"
"R25C","RES_0603_1608","103.4000","103.4000","17.2600","17.2600","103.4000","16.6100","90","120R","TopLayer"
"R25B","RES_0603_1608","103.5000","103.5000","48.8600","48.8600","103.5000","48.2100","90","120R","TopLayer"
"R25A","RES_0603_1608","103.9000","103.9000","81.1000","81.1000","103.9000","80.4500","90","120R","TopLayer"
"R24C","RES_0603_1608","82.6027","82.6027","14.0850","14.0850","81.9527","14.0850","0","10k","TopLayer"
"R24B","RES_0603_1608","82.7027","82.7027","45.6850","45.6850","82.0527","45.6850","0","10k","TopLayer"
"R24A","RES_0603_1608","83.1027","83.1027","77.9250","77.9250","82.4527","77.9250","0","10k","TopLayer"
"R23C","RES_0603_1608","82.6027","82.6027","22.5850","22.5850","81.9527","22.5850","0","10k","TopLayer"
"R23B","RES_0603_1608","82.7027","82.7027","54.1850","54.1850","82.0527","54.1850","0","10k","TopLayer"
"R23A","RES_0603_1608","83.1027","83.1027","86.4250","86.4250","82.4527","86.4250","0","10k","TopLayer"
"R22C","RES_0603_1608","103.4000","103.4000","25.4600","25.4600","103.4000","24.8100","90","120R","TopLayer"
"R22B","RES_0603_1608","103.5000","103.5000","57.0600","57.0600","103.5000","56.4100","90","120R","TopLayer"
"R22A","RES_0603_1608","103.9000","103.9000","89.3000","89.3000","103.9000","88.6500","90","120R","TopLayer"
"R21C","RES_0603_1608","98.4027","98.4027","15.3850","15.3850","98.4027","14.7350","90","1k","TopLayer"
"R21B","RES_0603_1608","98.5027","98.5027","46.9850","46.9850","98.5027","46.3350","90","1k","TopLayer"
"R21A","RES_0603_1608","98.9027","98.9027","79.2250","79.2250","98.9027","78.5750","90","1k","TopLayer"
"R20C","RES_0603_1608","98.4000","98.4000","24.1000","24.1000","98.4000","23.4500","90","1k","TopLayer"
"R20B","RES_0603_1608","98.5000","98.5000","55.6000","55.6000","98.5000","54.9500","90","1k","TopLayer"
"R20A","RES_0603_1608","98.8000","98.8000","87.8000","87.8000","98.8000","87.1500","90","1k","TopLayer"
"R19C","RES_0603_1608","98.3000","98.3000","18.8000","18.8000","98.3000","18.1500","90","1k","TopLayer"
"R19B","RES_0603_1608","98.5000","98.5000","50.4000","50.4000","98.5000","49.7500","90","1k","TopLayer"
"R19A","RES_0603_1608","98.9000","98.9000","82.6000","82.6000","98.9000","81.9500","90","1k","TopLayer"
"R18C","RES_0603_1608","98.4027","98.4027","27.1850","27.1850","98.4027","26.5350","90","1k","TopLayer"
"R18B","RES_0603_1608","98.5027","98.5027","58.7850","58.7850","98.5027","58.1350","90","1k","TopLayer"
"R18A","RES_0603_1608","98.9027","98.9027","91.0250","91.0250","98.9027","90.3750","90","1k","TopLayer"
"R17C","RES_0603_1608","82.5777","82.5777","15.9850","15.9850","81.9277","15.9850","0","0R","TopLayer"
"R17B","RES_0603_1608","82.6777","82.6777","47.5850","47.5850","82.0277","47.5850","0","0R","TopLayer"
"R17A","RES_0603_1608","83.0777","83.0777","79.8250","79.8250","82.4277","79.8250","0","0R","TopLayer"
"R16C","RES_0603_1608","80.1000","80.1000","23.9000","23.9000","80.1000","23.2500","90","10k","TopLayer"
"R16B","RES_0603_1608","80.2000","80.2000","55.5000","55.5000","80.2000","54.8500","90","10k","TopLayer"
"R16A","RES_0603_1608","80.6027","80.6027","87.5250","87.5250","80.6027","86.8750","90","10k","TopLayer"
"R15C","RES_0603_1608","79.9000","79.9000","15.3000","15.3000","79.9000","14.6500","90","10k","TopLayer"
"R15B","RES_0603_1608","80.0000","80.0000","46.9000","46.9000","80.0000","46.2500","90","10k","TopLayer"
"R15A","RES_0603_1608","80.4027","80.4027","78.8250","78.8250","80.4027","78.1750","90","10k","TopLayer"
"R14C","RES_0603_1608","82.5777","82.5777","18.1850","18.1850","81.9277","18.1850","0","0R","TopLayer"
"R14B","RES_0603_1608","82.6777","82.6777","49.7850","49.7850","82.0277","49.7850","0","0R","TopLayer"
"R14A","RES_0603_1608","83.0777","83.0777","82.0250","82.0250","82.4277","82.0250","0","0R","TopLayer"
"R13C","RES_0603_1608","82.5777","82.5777","20.1850","20.1850","81.9277","20.1850","0","0R","TopLayer"
"R13B","RES_0603_1608","82.6777","82.6777","51.7850","51.7850","82.0277","51.7850","0","0R","TopLayer"
"R13A","RES_0603_1608","83.0777","83.0777","84.0250","84.0250","82.4277","84.0250","0","0R","TopLayer"
"R12C","RES_0603_1608","82.6027","82.6027","24.5850","24.5850","81.9527","24.5850","0","0R","TopLayer"
"R12B","RES_0603_1608","82.7027","82.7027","56.1850","56.1850","82.0527","56.1850","0","0R","TopLayer"
"R12A","RES_0603_1608","83.1027","83.1027","88.4250","88.4250","82.4527","88.4250","0","0R","TopLayer"
"R11C","RES_0603_1608","82.6027","82.6027","26.7850","26.7850","81.9527","26.7850","0","0R","TopLayer"
"R11B","RES_0603_1608","82.7027","82.7027","58.3850","58.3850","82.0527","58.3850","0","0R","TopLayer"
"R11A","RES_0603_1608","83.1027","83.1027","90.6250","90.6250","82.4527","90.6250","0","0R","TopLayer"
"R10C","RES_0603_1608","82.6027","82.6027","28.8850","28.8850","81.9527","28.8850","0","0R","TopLayer"
"R10B","RES_0603_1608","82.7027","82.7027","60.4850","60.4850","82.0527","60.4850","0","0R","TopLayer"
"R10A","RES_0603_1608","83.1027","83.1027","92.7250","92.7250","82.4527","92.7250","0","0R","TopLayer"
"R9C","RES_0603_1608","75.4777","75.4777","13.5709","13.5709","74.8277","13.5709","0","1k","TopLayer"
"R9B","RES_0603_1608","75.5777","75.5777","45.1709","45.1709","74.9277","45.1709","0","1k","TopLayer"
"R9A","RES_0603_1608","75.9777","75.9777","77.4109","77.4109","75.3277","77.4109","0","1k","TopLayer"
"R7C","RES_0603_1608","75.4777","75.4777","16.4282","16.4282","74.8277","16.4282","0","1k","TopLayer"
"R7B","RES_0603_1608","75.5777","75.5777","48.0282","48.0282","74.9277","48.0282","0","1k","TopLayer"
"R7A","RES_0603_1608","75.9777","75.9777","80.2682","80.2682","75.3277","80.2682","0","1k","TopLayer"
"R6C","RES_0603_1608","75.4777","75.4777","19.3709","19.3709","74.8277","19.3709","0","1k","TopLayer"
"R6B","RES_0603_1608","75.5777","75.5777","50.9709","50.9709","74.9277","50.9709","0","1k","TopLayer"
"R6A","RES_0603_1608","75.9777","75.9777","83.2109","83.2109","75.3277","83.2109","0","1k","TopLayer"
"R5C","RES_0603_1608","75.4777","75.4777","22.1793","22.1793","74.8277","22.1793","0","1k","TopLayer"
"R5B","RES_0603_1608","75.5777","75.5777","53.7793","53.7793","74.9277","53.7793","0","1k","TopLayer"
"R5A","RES_0603_1608","75.9777","75.9777","86.0193","86.0193","75.3277","86.0193","0","1k","TopLayer"
"R4C","RES_0603_1608","75.4777","75.4777","24.9850","24.9850","74.8277","24.9850","0","1k","TopLayer"
"R4B","RES_0603_1608","75.5777","75.5777","56.5850","56.5850","74.9277","56.5850","0","1k","TopLayer"
"R4A","RES_0603_1608","75.9777","75.9777","88.8250","88.8250","75.3277","88.8250","0","1k","TopLayer"
"R3C","RES_0603_1608","75.4777","75.4777","27.8385","27.8385","74.8277","27.8385","0","1k","TopLayer"
"R3B","RES_0603_1608","75.5777","75.5777","59.4385","59.4385","74.9277","59.4385","0","1k","TopLayer"
"R3A","RES_0603_1608","75.9777","75.9777","91.6785","91.6785","75.3277","91.6785","0","1k","TopLayer"
"R2","RES_0603_1608","-7.5000","-7.5000","29.5000","29.5000","-7.5000","30.1500","270","0R","TopLayer"
"U4C","SOIC127P600X175-8N","91.9000","91.9000","17.5600","17.5600","89.1880","19.4650","0","THVD1450DR","TopLayer"
"U4B","SOIC127P600X175-8N","92.0000","92.0000","49.1600","49.1600","89.2880","51.0650","0","THVD1450DR","TopLayer"
"U4A","SOIC127P600X175-8N","92.4000","92.4000","81.4000","81.4000","89.6880","83.3050","0","THVD1450DR","TopLayer"
"U3C","SOIC127P600X175-8N","91.9000","91.9000","25.9600","25.9600","89.1880","27.8650","0","THVD1450DR","TopLayer"
"U3B","SOIC127P600X175-8N","92.0000","92.0000","57.5600","57.5600","89.2880","59.4650","0","THVD1450DR","TopLayer"
